description,item,first_word,second_word,item_shorthand_desc,sentence_word_match,sentence_word_source,sentence_word_score,sentence_word_match_Q,sentence_word_source_Q,sentence_word_score_Q,shorthand_word_match,shorthand_word_source,shorthand_word_score,shorthand_word_match_Q,shorthand_word_source_Q,shorthand_word_score_Q,max_score,best_source,best_match,portion_size
"Alcoholic drinks: beer, lager or cider",alcohol_beercider,alcohol,beercider,alcohol beercider,Low alcohol and alcohol free beer and lager,scheelbeek,73.93371463,Alcoholic soft drinks,scheelbeek,84.27097201347351,BEER IN GLASS,petersson,59.727632999420166,Low alcohol and alcohol free cider and perry,scheelbeek,84.89539027,84.89539027,shorthand_word_score_Q,Low alcohol and alcohol free cider and perry,574
"Alcoholic drinks: other drinks (e.g. cream liqueurs, medium or high strength liqueurs)",alcohol_other,alcohol,other,alcohol other,Alcoholic soft drinks,scheelbeek,64.84913826,Liqueurs,scheelbeek,71.56324982643127,Wine,scheelbeek,64.84526396,Alcoholic soft drinks,scheelbeek,81.83436393737793,81.83436393737793,shorthand_word_score_Q,Alcoholic soft drinks,25
Alcoholic drinks: spirits,alcohol_spirits,alcohol,spirits,alcohol spirits,Alcoholic soft drinks,scheelbeek,71.41660451889038,Liqueurs,scheelbeek,77.03597546,Spirits,scheelbeek,76.85630917549133,Liqueurs,scheelbeek,91.26510024,91.26510024,shorthand_word_score_Q,Liqueurs,23
"Alcoholic drinks: sherry, port, fortified wine",alcohol_wine_fort,alcohol,wine,alcohol wine fort,Fortified wine,scheelbeek,74.28545951843262,Fortified wine,scheelbeek,81.78356885910034,Fortified wine,scheelbeek,68.22395324707031,Fortified wine total,eustachio,84.19793248176575,84.19793248176575,shorthand_word_score_Q,Fortified wine total,50
Alcoholic drinks: red wine,alcohol_wine_red_large,alcohol,wine,alcohol wine red large,WINE RED,petersson,83.65374207496643,Wine,scheelbeek,77.75062918663025,WINE RED,petersson,78.07750105857849,WINE RED,petersson,80.08794188,83.65374207496643,sentence_word_score,WINE RED,250
"Alcoholic drinks: rose wine, sparkling rose wine",alcohol_wine_rose_large,alcohol,wine,alcohol wine rose large,Alcoholic soft drinks,scheelbeek,64.22345042228699,Low alcohol and alcohol free wine,scheelbeek,74.80846047401428,WINE RED,petersson,60.41066051,WINE WHITE,petersson,75.67368745803833,75.67368745803833,shorthand_word_score_Q,WINE WHITE,250
"Alcoholic drinks: white wine, sparkling white wine",alcohol_wine_white_large,alcohol,wine,alcohol wine white large,WINE WHITE,petersson,77.54545808,Low alcohol and alcohol free wine,scheelbeek,75.93554854393005,WINE WHITE,petersson,78.13612818717957,WINE WHITE,petersson,87.18479276,87.18479276,shorthand_word_score_Q,WINE WHITE,250
Biscuits or cookies with chocolate or half coated in chocolate,biscuit_choc,biscuit,choc,biscuit choc,CHOCOLATE OR CREAM FILLED COOKIES**,petersson,70.13687491416931,HAZELNUT COVERED WITH CHOCOLATE,petersson,80.69859147071838,Cho-cho,eustachio,61.481618881225586,Biscuits chocolate retail total,eustachio,85.20408868789673,85.20408868789673,shorthand_word_score_Q,Biscuits chocolate retail total,17
"Fully coated chocolate biscuits, can include cream or wafer filling",biscuit_choccov,biscuit,choccov,biscuit choccov,CHOCOLATE OR CREAM FILLED COOKIES**,petersson,68.45111251,CHOCOLATE OR CREAM FILLED COOKIES**,petersson,82.86008834838867,Cho-cho,eustachio,57.305848598480225,Biscuits chocolate retail total,eustachio,83.66280198097229,83.66280198097229,shorthand_word_score_Q,Biscuits chocolate retail total,24
"Biscuits sweet e.g digestive, gingernut, shortbread",biscuit_sweet,biscuit,sweet,biscuit sweet,Biscuits homemade,scheelbeek,69.38745975494385,Biscuits homemade,scheelbeek,81.79084658622742,Biscuits homemade,scheelbeek,64.21146392822266,Biscuits chocolate retail total,eustachio,78.48295569419861,81.79084658622742,sentence_word_score_Q,Biscuits homemade,17
"Gluten free biscuits sweet e.g digestive, gingernut, shortbread",biscuit_sweet_gf,biscuit,sweet,biscuit sweet gf,Biscuits homemade,scheelbeek,58.89220833778381,Biscuits homemade,scheelbeek,77.86328196525574,Biscuits homemade,scheelbeek,55.15339970588684,Biscuits chocolate retail,scheelbeek,72.93435335159302,77.86328196525574,sentence_word_score_Q,Biscuits homemade,
"Gluten free baguette, ciabatta, panini, sub: brown or with added fibre",bread_baguette_gf_nonwhite,bread,baguette,bread baguette gf nonwhite,Brown granary and wheatgerm bread,scheelbeek,46.83203101158142,Brown granary and wheatgerm bread,scheelbeek,79.92200851,BREAD PLAIN**,petersson,55.49125075340271,Other bread,scheelbeek,79.86510396003723,79.92200851,sentence_word_score_Q,Brown granary and wheatgerm bread,
